date,total.nonUS,Africa.total,Africa.not.elsewhere.classified,Algeria,Angola,Ascension Island,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Island,Central African Republic,Chad,Chagos Archipelago,Comoros Islands,Congo-Brazzaville,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea.Bissau,Guinea.Equatorial,Ivory Coast,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius Islands,Morocco,Mozambique,Namibia,Niger,Nigeria,Reunion,Rwanda,So.Tom.and.Principe,Senegal,Seychelles Islands,Sierra Leone,Somalia Republic,South Africa,St. Helena Islands,Sudan,Swaziland,Tanzania,Togo,Tristan Da Cunha,Tunisia,Uganda,Western Sahara,Congo-Kinshasa,Zambia,Zimbabwe
Aug-07,625496,11893,0,476,40,0,80,82,61,14,196,2,2,4,19,0,19,10,1156,20,149,92,46,330,104,2,6,188,420,2,7,329,71,36,59,62,214,1758,26,20,29,1076,375,31,0,289,10,16,13,2799,0,27,10,155,46,0,556,144,0,63,73,79
Sep-07,547830,8989,0,553,22,0,49,54,67,21,253,3,12,6,2,0,20,6,809,14,108,38,6,241,79,4,2,116,414,1,5,174,56,37,72,20,91,894,34,74,16,644,114,26,0,208,22,6,15,2470,0,45,14,194,33,0,404,184,0,65,58,114
Oct-07,344975,5568,0,345,16,0,48,29,47,17,90,0,0,3,8,2,40,4,540,20,95,32,9,147,45,2,4,57,252,4,4,90,28,22,37,16,93,634,14,57,5,314,265,18,0,101,6,14,4,1417,0,14,5,131,11,0,187,78,0,54,40,53
Nov-07,211343,4629,0,373,25,0,19,46,23,14,109,0,0,6,0,0,2,6,398,51,61,25,10,128,26,2,0,58,195,0,3,92,68,14,29,8,81,653,20,14,16,297,40,39,1,57,14,14,6,1121,0,18,6,75,10,0,202,28,0,72,36,18
Dec-07,315336,7095,0,321,18,0,36,54,58,32,169,6,0,6,0,6,15,0,592,10,70,44,6,109,45,2,2,66,236,4,2,93,46,14,73,24,85,746,28,28,10,321,142,20,0,154,6,2,4,2534,0,26,8,145,16,0,329,121,0,76,83,52
Jan-08,218390,3976,0,193,18,0,15,26,24,24,73,2,0,2,8,0,6,6,371,16,37,35,0,85,29,0,0,49,121,0,13,99,12,8,46,4,29,607,14,18,11,331,91,8,0,99,10,4,1,954,0,5,8,59,14,0,214,83,0,18,37,39
Feb-08,229174,3461,0,217,24,0,49,19,15,7,52,0,0,2,1,0,4,6,271,20,45,17,4,69,31,0,2,24,145,0,2,53,37,8,21,16,46,494,14,20,21,187,56,17,0,42,4,2,14,1000,0,15,0,88,9,0,123,59,0,28,29,32
Mar-08,257894,4445,0,283,65,0,17,28,31,2,93,0,0,10,9,0,2,4,398,8,48,15,2,87,23,0,2,32,170,3,0,76,44,6,32,35,114,486,8,12,20,304,40,11,0,60,2,4,2,1336,0,8,2,102,20,0,236,59,0,42,16,36
Apr-08,277747,4726,0,361,26,0,22,42,51,14,53,0,2,2,2,0,22,10,504,8,58,30,6,91,32,0,0,32,218,12,5,119,40,10,18,9,112,582,15,26,4,259,60,18,0,67,10,4,1,1234,0,49,2,100,11,0,167,38,0,76,49,43
May-08,456001,7848,0,571,20,0,66,36,131,2,120,8,2,6,11,6,4,0,776,10,134,44,5,149,30,2,0,74,289,1,14,136,57,22,44,18,217,848,28,36,26,464,90,49,0,169,2,12,7,2333,0,67,11,131,29,0,242,144,0,76,44,35
Jun-08,574575,12183,0,755,62,0,117,70,89,12,232,4,0,20,7,0,14,8,1441,26,144,68,4,267,47,0,0,201,395,34,8,156,60,54,117,26,332,1089,43,69,40,636,154,47,0,214,26,25,5,3722,0,91,9,255,26,0,445,174,0,157,91,95
Jul-08,715258,13588,0,1176,59,0,76,74,87,16,127,4,12,16,4,8,2,20,2002,28,132,69,7,309,82,0,2,114,585,4,28,228,143,44,67,29,323,2024,8,41,44,579,401,50,0,250,11,12,4,3125,0,61,14,233,26,0,412,126,0,162,64,64
Aug-08,652758,12271,0,593,62,0,114,111,136,44,177,2,2,5,7,4,8,14,1142,32,201,73,18,356,94,0,4,250,421,6,15,226,79,27,112,42,278,1671,30,79,22,1189,250,53,0,323,18,12,5,2512,0,33,20,224,44,0,611,199,0,96,100,125
Sep-08,552633,9313,0,503,41,0,74,70,70,31,174,13,2,6,6,7,8,0,827,45,148,42,12,298,82,0,4,90,361,6,10,101,59,17,90,6,148,864,48,38,20,806,289,29,0,196,2,10,7,2634,0,35,17,124,36,0,407,160,0,98,98,44
Oct-08,339364,7529,0,584,29,0,133,55,122,34,170,6,12,33,16,4,49,41,643,29,129,65,2,171,83,0,6,159,265,2,6,193,70,8,99,18,136,768,14,30,25,474,205,32,0,223,2,10,0,1605,0,29,8,146,46,0,254,63,0,123,47,53
Nov-08,194528,4728,0,321,17,0,36,36,38,17,75,6,0,6,0,2,2,6,407,26,91,18,6,104,24,0,4,49,233,4,3,109,45,19,42,9,36,771,19,16,22,363,32,21,0,103,4,6,16,1050,0,6,6,112,42,0,151,50,0,87,22,38
Dec-08,296142,7340,0,345,36,0,48,64,63,36,113,0,2,6,2,8,2,2,660,16,99,63,6,96,76,0,2,110,306,2,6,79,30,6,45,6,78,724,16,57,19,372,131,59,0,113,0,10,19,2571,0,33,7,104,10,0,392,70,0,78,39,103
Jan-09,213996,4468,0,237,36,0,54,58,19,26,108,0,0,14,0,0,5,2,409,17,67,48,10,82,48,0,7,57,125,0,2,173,30,9,54,4,66,632,16,47,10,423,62,14,0,78,2,2,3,901,0,13,16,50,12,0,249,59,0,31,40,41
Feb-09,207400,3493,0,257,2,0,30,19,30,10,34,0,0,0,0,0,12,6,316,6,46,38,4,69,16,0,0,39,142,2,11,68,46,4,39,12,30,506,10,16,7,276,32,27,0,58,0,3,8,806,0,19,8,58,8,0,207,48,0,52,36,20
Mar-09,215419,4203,0,350,19,0,10,26,25,8,68,0,0,4,0,0,6,6,363,9,62,21,12,62,40,0,8,59,120,0,5,56,45,15,39,40,58,614,6,26,13,366,44,8,0,89,2,12,4,960,0,24,8,93,14,0,237,42,0,35,38,32
Apr-09,280774,4654,0,371,21,0,31,22,28,11,107,0,0,2,0,4,4,2,502,17,75,46,19,116,39,0,2,53,225,18,8,81,22,0,21,5,110,696,2,16,18,396,32,48,0,77,4,7,28,859,0,19,4,106,6,0,183,59,0,56,34,42
May-09,371096,7576,0,533,48,0,77,34,62,15,152,0,4,4,8,6,8,4,590,11,129,25,12,136,21,0,2,77,366,6,16,126,60,24,135,7,195,960,12,66,40,651,153,31,0,137,6,4,11,1812,0,46,9,123,29,0,302,102,0,52,60,77
Jun-09,481684,11042,0,937,18,0,145,41,104,17,182,0,0,31,8,0,7,8,1347,36,114,30,10,283,50,0,4,140,453,12,29,230,65,42,63,19,191,1268,24,41,12,594,127,40,0,165,10,10,44,2950,0,37,12,274,45,0,410,118,0,75,95,75
Jul-09,617925,13137,0,1250,25,22,102,73,38,46,237,4,0,22,1,6,11,8,1759,18,183,65,15,350,77,2,0,153,588,13,3,211,63,36,106,37,391,1577,26,31,57,948,225,54,0,208,2,14,14,2850,0,45,3,262,26,0,476,97,0,131,91,85
Aug-09,557280,11729,0,519,28,2,136,120,167,26,241,0,8,12,12,16,6,14,1220,54,139,70,34,305,49,6,2,179,456,6,2,126,90,32,167,26,237,1328,37,26,26,1473,230,54,0,322,14,10,12,2314,0,36,19,204,58,0,541,205,0,121,62,130
Sep-09,468480,8692,0,639,43,0,54,60,112,25,231,2,4,60,12,1,0,12,815,6,116,28,19,215,49,0,4,127,399,25,16,124,70,14,103,9,140,1008,64,31,10,867,84,36,0,224,13,26,46,1623,0,48,27,201,26,0,384,123,0,148,78,91
Oct-09,311148,6496,0,580,23,0,73,41,33,11,179,0,0,4,0,6,6,0,646,10,87,30,15,142,55,2,4,60,227,20,3,138,42,24,75,16,151,858,22,32,10,495,162,26,0,107,4,6,4,1255,0,32,13,160,7,0,294,114,0,82,70,40
Nov-09,175033,4522,0,406,18,0,38,18,30,19,100,0,4,6,4,8,13,2,576,6,87,27,8,101,33,0,0,57,157,6,4,46,24,12,35,12,102,613,22,26,24,335,34,32,0,66,2,14,17,771,0,42,4,90,14,0,236,91,0,47,36,47
Dec-09,269871,6799,0,367,26,0,45,59,53,44,76,4,2,4,0,7,8,2,571,8,79,48,8,148,18,0,4,86,191,6,9,125,46,16,50,12,74,792,14,63,16,558,72,17,0,137,4,10,16,1951,0,30,16,123,12,0,479,92,0,69,62,70
Jan-10,199380,4261,0,239,32,0,18,21,46,14,122,0,0,6,0,0,0,3,508,10,44,40,6,55,47,0,0,78,111,2,12,92,40,16,42,4,49,586,4,43,5,429,38,18,0,113,0,21,1,881,0,37,6,76,5,0,199,40,0,34,40,28
Feb-10,220529,3278,0,221,10,0,15,13,32,8,73,4,2,4,4,2,0,1,352,20,68,16,0,69,20,0,0,42,103,6,0,80,20,2,22,8,52,487,6,15,22,305,34,24,0,59,0,16,8,641,0,24,11,48,7,0,134,55,0,67,17,29
Mar-10,239620,4695,0,296,10,0,20,34,27,22,101,0,0,6,0,10,0,4,480,10,59,19,10,138,30,0,0,52,168,3,43,86,34,2,23,20,114,657,14,40,17,367,17,12,0,97,0,4,28,1067,0,34,4,77,26,0,226,61,0,69,24,33
Apr-10,267739,5269,0,419,28,0,33,22,25,4,90,0,0,6,0,2,10,6,712,6,123,28,12,90,22,2,2,65,171,0,10,110,33,14,49,5,168,774,7,30,12,539,32,10,0,104,2,0,13,879,0,44,2,100,28,0,251,56,0,69,22,28
May-10,400876,8029,0,662,18,0,64,47,87,22,125,2,0,2,0,6,4,46,778,34,105,33,13,213,24,0,0,55,362,6,12,116,37,18,57,29,315,1035,28,43,10,693,118,49,0,140,6,14,20,1679,0,48,83,169,15,0,273,100,0,91,38,85
Jun-10,535815,13500,0,972,35,0,136,35,100,40,292,3,2,8,8,8,6,40,1486,54,162,47,13,338,90,0,0,191,460,6,6,183,88,80,108,30,321,1348,34,46,17,1828,132,54,0,198,15,16,65,2961,0,85,4,258,61,0,488,275,0,120,69,78
Jul-10,665043,13945,0,1472,58,0,162,71,99,43,190,4,0,14,10,8,6,44,2077,18,206,86,15,245,44,4,2,162,570,12,3,189,128,42,123,13,407,2227,39,56,26,1066,290,52,0,214,25,8,27,2011,0,82,8,207,45,0,565,192,0,125,68,85
Aug-10,622270,11836,0,554,98,0,80,105,117,44,209,3,6,6,2,4,20,16,1262,8,167,68,37,332,104,10,2,154,450,10,15,146,79,28,130,15,196,1013,35,59,22,1878,146,106,0,295,17,14,5,2720,0,31,16,136,28,0,413,124,0,126,53,122
Sep-10,508255,9910,0,706,26,0,102,99,88,19,203,2,4,24,6,9,18,14,940,6,110,61,13,269,59,1,6,100,459,18,20,162,57,56,53,16,159,1035,38,86,22,1019,184,62,0,192,10,16,4,2193,0,60,10,173,12,0,381,198,2,126,96,106
Oct-10,329960,6961,0,561,18,0,36,50,58,6,103,0,2,10,6,8,0,14,696,27,95,53,6,169,54,8,6,64,212,8,8,155,37,28,45,4,162,882,33,40,28,935,117,28,4,95,0,14,26,1338,0,26,18,118,18,0,288,133,0,41,30,40
Nov-10,183194,4746,0,419,18,0,17,22,33,13,142,0,0,12,8,2,10,3,565,38,70,12,8,85,25,0,4,51,189,0,3,119,44,16,44,4,62,695,12,92,4,410,30,17,0,59,4,6,20,850,0,32,13,62,10,0,225,77,0,45,14,31
Dec-10,282953,7382,0,434,44,0,52,81,50,38,114,3,0,13,4,2,10,4,674,10,90,32,7,136,28,2,0,79,208,0,6,120,65,2,48,11,101,755,16,158,10,740,88,19,0,148,4,14,4,1991,0,49,6,119,16,0,495,83,0,92,32,75
Jan-11,208365,4683,0,205,102,0,47,22,76,10,84,0,2,0,8,0,10,4,374,6,38,16,12,88,24,0,0,47,131,0,8,114,17,18,76,12,60,695,12,64,10,621,48,22,0,131,0,22,8,848,8,14,5,73,8,0,212,94,0,56,77,44
Feb-11,194574,3199,0,265,4,0,14,21,37,5,74,0,0,8,6,4,0,8,393,24,36,13,4,67,17,0,0,42,84,2,6,76,8,8,24,2,41,433,8,122,7,292,22,4,0,39,0,2,10,613,4,18,6,64,24,0,133,32,0,31,21,21
Mar-11,213016,4588,0,403,16,0,19,20,36,16,110,0,0,8,0,0,4,6,364,9,68,32,8,118,43,0,2,52,140,4,7,54,40,16,88,26,111,517,24,172,19,417,24,26,0,113,2,4,13,929,0,50,6,78,20,0,248,36,0,32,10,28
Apr-11,288496,5999,0,442,8,0,48,35,14,16,117,0,4,0,0,6,12,4,590,6,65,32,6,136,23,0,2,48,217,6,36,14,55,8,68,14,99,1080,6,118,32,635,50,30,0,156,0,0,19,1177,0,31,4,103,21,0,232,53,0,51,36,34
May-11,410826,7949,0,715,42,0,84,53,74,10,147,1,0,4,0,8,14,19,820,5,112,50,12,141,48,0,3,49,382,3,9,8,56,32,66,27,203,916,22,111,15,671,130,46,0,160,8,16,4,1854,0,36,6,107,23,0,373,89,0,54,30,81
Jun-11,544175,12115,0,1019,20,0,139,29,92,52,228,8,4,16,3,2,16,18,1268,4,164,40,23,282,91,2,0,63,405,0,32,30,73,34,135,24,288,1232,64,105,38,774,219,72,0,187,16,20,23,3435,0,72,20,216,69,0,504,139,0,137,87,82
Jul-11,683604,13449,0,1417,52,0,105,56,70,24,158,0,2,21,0,20,18,14,1604,30,205,78,31,279,94,0,2,67,642,20,12,37,94,17,81,35,286,2172,41,83,46,1011,346,40,0,223,8,16,8,2629,0,70,12,201,61,0,524,161,0,86,52,88
Aug-11,623090,13298,0,969,24,0,109,98,128,52,259,2,0,14,0,14,36,14,1268,38,163,48,22,393,80,0,0,125,590,28,5,2,98,34,128,16,325,1393,21,114,17,1846,204,64,0,291,10,18,23,2660,0,73,32,149,84,0,696,193,0,129,48,151
Sep-11,529058,10232,0,879,38,0,94,63,98,45,178,0,4,6,0,2,48,12,755,28,142,39,16,288,65,0,2,89,355,8,26,27,94,91,119,30,201,1111,54,95,29,1178,163,43,0,267,6,18,6,2323,0,58,8,162,36,0,434,145,0,68,71,115
Oct-11,332955,7177,0,689,30,0,66,58,62,20,145,0,12,8,0,12,4,4,635,16,113,52,2,153,55,0,0,69,232,14,4,33,64,32,60,18,115,836,34,95,6,960,100,36,0,114,4,8,46,1375,1,34,10,111,14,0,334,107,0,54,46,75
Nov-11,191790,5096,0,601,14,0,38,34,26,26,85,2,0,10,0,0,6,3,417,34,67,40,8,161,53,0,0,28,143,2,34,36,32,15,48,20,109,643,12,66,10,567,44,20,0,80,0,4,22,990,0,20,10,60,2,0,250,91,0,57,22,34
Dec-11,302726,8168,0,613,32,0,33,69,62,46,163,0,0,16,0,42,8,6,631,18,116,48,6,162,65,0,0,50,225,0,24,10,64,14,61,13,118,752,32,54,4,860,173,33,0,140,0,14,44,2300,0,43,8,126,16,0,487,115,0,108,85,59
Jan-12,218586,4743,0,331,18,0,43,40,49,38,78,0,4,0,0,0,2,10,513,16,38,31,2,141,38,0,0,93,134,2,7,24,37,10,54,10,45,622,16,56,2,640,39,34,0,106,0,4,9,792,0,23,16,72,6,0,207,124,0,69,40,58
Feb-12,213986,3823,0,232,12,0,26,36,52,30,67,0,0,20,0,0,6,6,423,16,56,22,0,94,8,0,0,38,114,0,3,36,40,8,25,2,52,684,8,8,2,285,80,24,0,49,0,0,6,701,0,18,8,47,16,0,259,83,0,67,34,20
Mar-12,248695,5414,0,579,8,0,15,49,72,16,144,0,0,4,0,2,0,7,518,26,60,16,6,90,58,0,0,38,158,4,3,82,39,14,74,22,95,728,12,33,24,475,56,20,0,130,4,13,10,1077,0,21,14,92,16,0,313,83,0,61,17,16
Apr-12,288357,6441,0,573,21,0,38,28,44,24,156,0,0,4,0,10,8,6,598,16,115,21,7,138,66,0,0,66,265,8,0,78,52,8,48,8,124,1067,26,36,7,594,44,38,0,139,4,4,4,1168,0,36,57,128,26,0,264,101,0,54,36,78
May-12,408027,8416,0,773,36,0,41,72,91,37,187,0,0,4,0,8,10,10,828,16,112,23,8,200,91,0,0,80,383,12,11,63,64,18,50,19,136,1083,36,38,14,752,86,42,0,139,6,22,22,1777,0,49,27,199,26,0,352,156,0,77,57,73
Jun-12,551890,14014,0,1821,57,0,45,71,147,59,264,2,10,48,0,8,13,16,1385,14,168,37,22,299,86,0,0,158,504,15,17,161,99,48,110,12,403,1519,40,70,37,896,177,34,0,202,29,10,17,3437,0,77,7,274,35,0,593,180,0,124,76,81
Jul-12,678767,14308,0,1649,51,4,67,79,111,46,265,2,6,19,0,8,28,42,1558,36,387,32,13,355,119,0,3,165,593,3,16,121,92,24,74,48,423,1583,44,33,36,1069,477,92,0,254,10,18,38,2830,0,46,24,207,54,0,539,182,0,151,71,111
Aug-12,621291,13384,0,894,48,0,71,107,150,39,274,0,4,22,0,2,18,8,1294,18,268,78,22,346,49,0,0,185,615,7,16,100,85,26,128,33,336,1698,27,27,38,2100,154,91,0,196,7,17,11,2517,0,61,13,166,38,0,489,169,0,104,102,116
Sep-12,517814,10323,0,861,22,0,142,47,126,48,217,2,2,16,0,6,22,16,859,18,229,54,20,289,74,0,4,166,381,2,19,148,32,49,125,34,163,977,38,36,29,1087,240,54,0,239,11,20,24,2253,0,35,43,171,38,0,412,152,0,110,79,82
Oct-12,338885,8301,0,860,32,0,67,42,76,6,209,0,4,26,0,20,20,12,808,26,233,46,6,248,70,0,0,82,235,12,17,136,56,33,66,12,90,1114,10,30,20,739,248,71,2,101,6,8,26,1317,0,35,4,218,21,0,366,167,0,133,54,61
Nov-12,200482,5371,0,503,34,0,16,22,48,29,146,10,0,14,0,8,8,9,481,16,150,18,6,156,27,0,0,83,188,0,17,92,8,7,40,26,97,765,32,8,8,590,22,25,0,146,0,0,18,900,0,24,2,90,14,0,237,106,0,65,20,40
Dec-12,311983,9064,0,638,16,0,30,26,85,74,176,0,0,16,0,2,20,9,751,30,206,37,18,227,73,0,0,137,240,6,20,50,53,10,53,18,107,853,38,42,20,1027,130,35,0,165,2,24,36,2400,0,64,6,140,36,0,428,150,0,160,76,104
Jan-13,212958,4706,0,298,18,0,28,34,28,10,134,0,2,0,0,0,6,8,471,16,113,10,8,130,26,2,0,58,121,0,12,94,23,6,32,20,38,551,20,32,12,739,58,8,0,79,2,2,23,879,0,36,0,64,13,0,241,78,0,34,32,57
Feb-13,220461,3822,0,270,6,0,32,14,37,12,92,2,4,4,0,4,16,10,360,2,120,22,9,121,31,0,0,44,155,4,4,87,22,6,8,15,70,543,8,33,10,499,28,10,0,64,0,0,4,619,0,16,2,58,0,0,205,68,0,37,19,16
Mar-13,261250,6001,0,562,20,2,29,16,65,14,144,0,0,11,0,0,6,20,610,22,148,17,6,197,57,0,0,60,147,14,7,110,38,6,45,16,99,775,8,12,20,657,48,32,0,132,6,8,0,1089,0,44,16,89,32,0,344,76,0,58,22,45
Apr-13,278085,6911,0,586,22,0,39,28,59,22,118,0,2,13,0,6,6,0,574,8,195,33,6,166,50,0,2,63,304,2,4,140,29,6,36,18,143,1146,22,12,8,989,34,24,0,82,4,4,10,1177,0,18,15,99,25,0,307,84,0,86,43,42
May-13,425377,10093,0,932,38,0,48,26,90,36,202,0,0,14,0,2,8,14,850,26,218,27,8,249,69,0,2,78,452,6,17,137,51,12,120,28,279,1458,26,66,10,1286,158,56,0,136,10,0,12,1840,0,35,6,159,11,0,392,116,2,145,55,75
Jun-13,562198,13946,0,1711,53,0,70,67,113,41,266,1,0,22,2,2,16,15,1609,44,213,50,12,299,54,0,4,198,547,20,11,148,84,38,81,30,320,1499,34,25,34,1140,200,94,0,197,25,18,57,3039,0,48,9,236,24,0,559,218,0,186,92,71
Jul-13,685861,13632,0,1395,67,0,80,34,127,58,259,2,0,6,0,28,21,22,1685,20,251,127,19,337,57,0,2,132,547,12,21,98,96,18,73,10,333,1766,45,66,30,1222,399,58,0,213,18,18,8,2570,4,39,19,149,55,0,468,189,1,218,59,81
Aug-13,676748,17270,0,1473,81,0,118,45,162,71,399,0,2,22,4,6,16,30,1652,20,228,85,20,368,70,0,4,356,669,8,8,357,52,37,81,27,445,2065,40,47,8,3375,220,68,0,318,20,4,7,2572,0,60,6,179,70,0,673,262,0,168,71,121
Sep-13,534930,12295,0,977,42,0,112,34,140,42,302,12,0,32,0,10,22,28,1056,25,212,56,16,350,161,10,0,147,387,12,29,185,41,56,105,28,185,1054,26,42,14,1818,202,278,0,278,10,27,110,2236,0,73,47,150,51,0,540,178,0,152,68,127
Oct-13,341311,8034,0,736,37,0,38,24,83,6,153,2,0,10,2,2,39,14,867,36,184,44,8,259,81,0,0,86,276,4,8,260,52,33,42,20,94,1049,24,19,28,818,123,52,0,121,4,4,2,1236,0,36,8,157,30,0,445,189,0,93,53,43
Nov-13,208871,6022,0,677,6,0,28,26,46,20,206,2,2,10,0,0,10,4,580,3,109,26,8,126,17,2,0,80,154,2,3,229,52,8,70,12,80,827,30,15,16,860,32,34,0,92,0,0,22,788,0,51,4,75,22,0,265,132,0,69,32,58
Dec-13,323636,8923,0,679,34,0,25,45,60,30,105,0,4,10,0,6,14,15,770,8,135,65,6,148,53,0,0,82,320,6,5,243,55,20,58,16,160,755,20,37,19,1339,192,36,0,113,2,16,22,2163,0,38,12,122,30,0,432,127,2,163,49,57
Jan-14,235661,5150,0,289,42,0,37,22,47,14,136,0,4,16,0,0,2,6,650,20,102,35,4,135,29,0,2,75,117,2,7,80,29,26,67,9,41,503,23,46,14,882,44,17,0,77,0,4,11,822,0,22,6,47,30,0,332,68,0,36,34,87
Feb-14,222831,4519,0,299,40,0,13,10,44,14,96,1,6,4,0,0,4,0,513,18,130,33,2,89,38,0,16,57,107,4,16,116,34,8,46,20,78,666,6,41,12,530,37,32,0,71,2,6,12,740,0,38,2,78,10,0,263,39,0,38,22,18
Mar-14,242594,5895,0,453,26,0,39,12,71,10,163,0,0,4,0,0,6,6,801,8,183,8,4,109,36,0,8,88,218,4,16,168,34,10,64,14,99,722,17,22,4,727,26,24,0,89,2,12,8,807,0,62,10,84,38,0,324,86,0,76,51,42
Apr-14,324302,7304,0,632,14,0,26,14,30,19,171,0,2,6,0,2,18,7,731,5,152,16,7,145,60,0,2,76,296,3,16,352,31,14,23,12,97,884,26,14,8,1098,51,41,0,91,2,28,30,1064,0,28,2,161,16,0,497,71,0,95,46,72
May-14,468223,10448,0,956,34,0,56,57,117,32,260,4,2,13,0,4,8,12,1218,12,271,24,6,264,90,0,0,133,427,8,23,362,35,23,81,4,283,1235,16,14,20,1087,156,30,0,135,10,4,6,1602,0,42,10,267,52,0,598,85,0,88,45,127
Jun-14,619889,14482,0,1256,52,0,74,76,133,37,276,0,4,38,0,14,27,24,1686,10,241,32,9,321,85,0,9,213,579,16,13,458,70,42,94,31,451,1439,44,43,18,1403,159,53,2,272,30,18,11,2924,0,36,19,282,30,0,698,255,0,186,55,134
Jul-14,773455,17810,0,2340,80,0,85,34,243,34,418,6,26,36,2,14,46,16,1890,22,318,73,9,434,110,0,2,270,605,24,5,105,120,22,96,37,448,2251,54,33,40,2157,438,39,0,244,6,10,16,2882,0,45,7,194,50,0,802,134,0,255,92,91
Aug-14,765844,17334,0,1273,43,0,113,96,138,43,322,2,0,36,0,0,26,28,1457,14,296,107,13,511,87,0,8,369,716,12,10,192,103,42,115,22,480,1691,47,28,33,4007,301,59,2,291,5,14,5,2544,0,67,78,223,78,0,532,208,0,205,72,170
